Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_data[28:0],tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/matching_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/readout_fifo_full,tdc_decoder_top_inst/inst_event_builder_triggerless/event_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/event_data_ready,tdc_decoder_top_inst/inst_event_builder_triggerless/building_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/hit_count[9:0],tdc_decoder_top_inst/inst_event_builder_triggerless/state[5:0],tdc_decoder_top_inst/inst_event_builder_triggerless/nextstate[5:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
147,147,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
148,148,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
149,149,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
150,150,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
151,151,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
152,152,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
153,153,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
154,154,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
155,155,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
156,156,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
157,157,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
158,158,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
159,159,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
160,160,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
161,161,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
162,162,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
163,163,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
