Sample in Buffer,Sample in Window,TRIGGER,num_active_ports_1[4:0],sa_done_1,lock_OBUF_1,active_chains_1[17:0],JTAG_busy,tdi_tdo_equal_1,chain_success_1[5:0],elink_ttc_org,tdo_IBUF[17:0],tdi_OBUF[17:0],tck_OBUF[17:0],tms_OBUF[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
316,316,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
317,317,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
318,318,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
319,319,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
320,320,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
321,321,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
322,322,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
323,323,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
324,324,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
325,325,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
